Level,Specialty,Section,Type,Content,HasBlurb,ShowCommentsAlways,Order
4,Oculoplastics,A,LearningOutcome,"OO4.4 - Be an effective supervisor, teacher and trainer of oculoplastic cases.",FALSE,FALSE,1
4,Oculoplastics,A,LearningOutcome,"OO4.3 - Apply management and team working skills appropriately, including in complex, dynamic situations.",FALSE,FALSE,2
4,Oculoplastics,A,LearningOutcome,OO4.2 - Manage the complexity and uncertainty of oculoplastic cases.,FALSE,FALSE,3
4,Oculoplastics,A,LearningOutcome,OO4.1 - Demonstrate advanced clinical management and surgical skills.,FALSE,FALSE,4
4,Oculoplastics,B,Criterion,CRS1 Consultation skills in oculoplastics,FALSE,TRUE,1
4,Oculoplastics,C,Criterion,Independent management of the oculoplastics clinic,TRUE,TRUE,1
4,Oculoplastics,C,Criterion,Management of thyroid eye disease,TRUE,TRUE,2
4,Oculoplastics,C,Criterion,Participation in MDT meetings,TRUE,TRUE,3
4,Oculoplastics,C,Criterion,Ability to supervise and train trainees and other health professionals in oculoplastics,TRUE,TRUE,4
4,Oculoplastics,D,Criterion,OSATS Surgical skills - eyelid and adnexal surgery,FALSE,TRUE,1
4,Oculoplastics,D,Criterion,OSATS Temporal artery biopsy,FALSE,TRUE,2
4,Oculoplastics,D,Criterion,OSATS Removal of eye (enucleation and evisceration),FALSE,TRUE,3
4,Oculoplastics,D,Criterion,EPA L4 Managing an oculoplastics operating list,FALSE,TRUE,4
4,Oculoplastics,E,Criterion,Surgical management of oculoplastic adnexal and lacrimal conditions including complex entropion,TRUE,TRUE,1
4,Oculoplastics,E,Criterion,Anterior orbital biopsy,TRUE,TRUE,2
4,Oculoplastics,E,Criterion,External dacryocystorhinostomy,TRUE,TRUE,3
4,Oculoplastics,E,Criterion,Nasal endoscopy - either Outpatients or Theatre,TRUE,TRUE,4
4,Oculoplastics,F,Criterion,Longitudinal observation by consultant assessor in the outpatient and/or on call setting,FALSE,TRUE,1
4,Oculoplastics,F,Criterion,Longitudinal observation by consultant assessor in the theatre and simulation setting,FALSE,TRUE,2
4,Oculoplastics,F,Criterion,Review of logbook,FALSE,TRUE,3
4,Oculoplastics,F,Criterion,Review of personal audit of surgical outcomes,FALSE,TRUE,4
4,Oculoplastics,F,Criterion,Review of record keeping and letters,FALSE,TRUE,5
4,Oculoplastics,F,Criterion,CbDs,FALSE,TRUE,6
4,Oculoplastics,F,Criterion,Multi-assessor report,FALSE,TRUE,7
4,Cornea & Ocular Surface Disease,A,LearningOutcome,"COS4.4 - Be an effective supervisor, teacher and trainer of cornea and ocular surface disease.",FALSE,FALSE,1
4,Cornea & Ocular Surface Disease,A,LearningOutcome,"COS4.3 - Apply management and team working skills appropriately, including in complex, dynamic situations.",FALSE,FALSE,2
4,Cornea & Ocular Surface Disease,A,LearningOutcome,COS4.2 - Manage the complexity and uncertainty of cornea and ocular surface disease cases.,FALSE,FALSE,3
4,Cornea & Ocular Surface Disease,A,LearningOutcome,COS4.1 - Demonstrate advanced clinical management and surgical skills.,FALSE,FALSE,4
4,Cornea & Ocular Surface Disease,B,Criterion,CRS1 Consultation skills in cornea and ocular surface disease,FALSE,TRUE,1
4,Cornea & Ocular Surface Disease,C,Criterion,Independent management of the cornea and ocular surface clinic,TRUE,TRUE,1
4,Cornea & Ocular Surface Disease,C,Criterion,Management of complex corneal,TRUE,TRUE,2
4,Cornea & Ocular Surface Disease,C,Criterion,Management of post refractive surgery complications e.g. ectasia,TRUE,TRUE,3
4,Cornea & Ocular Surface Disease,C,Criterion,Ability to supervise and train trainees in corneal and ocular surface disease to Level 3 and other health professional in a clinic setting,TRUE,TRUE,4
4,Cornea & Ocular Surface Disease,D,Criterion,OSATS Surgical skills - cornea and ocular surface,FALSE,TRUE,1
4,Cornea & Ocular Surface Disease,D,Criterion,OSATS Cataract surgery,FALSE,TRUE,2
4,Cornea & Ocular Surface Disease,D,Criterion,EPA L4 Managing a corneal and ocular surface operating list,FALSE,TRUE,3
4,Cornea & Ocular Surface Disease,E,Criterion,Complex cataract surgery,TRUE,TRUE,1
4,Cornea & Ocular Surface Disease,E,Criterion,Corneal grafting,TRUE,TRUE,2
4,Cornea & Ocular Surface Disease,E,Criterion,Ocular surface biopsy,TRUE,TRUE,3
4,Cornea & Ocular Surface Disease,E,Criterion,Pterygium surgery and amniotic membrane graft,TRUE,TRUE,4
4,Cornea & Ocular Surface Disease,E,Criterion,Conjunctival manipulation,TRUE,TRUE,5
4,Cornea & Ocular Surface Disease,E,Criterion,Collagen crosslinking,TRUE,TRUE,6
4,Cornea & Ocular Surface Disease,F,Criterion,Longitudinal observation by consultant assessor in the outpatient and/or on call setting,FALSE,TRUE,1
4,Cornea & Ocular Surface Disease,F,Criterion,Longitudinal observation by consultant assessor in the theatre and simulation setting,FALSE,TRUE,2
4,Cornea & Ocular Surface Disease,F,Criterion,Review of logbook,FALSE,TRUE,3
4,Cornea & Ocular Surface Disease,F,Criterion,Review of personal audit of surgical outcomes,FALSE,TRUE,4
4,Cornea & Ocular Surface Disease,F,Criterion,Review of record keeping and letters,FALSE,TRUE,5
4,Cornea & Ocular Surface Disease,F,Criterion,CbDs,FALSE,TRUE,6
4,Cornea & Ocular Surface Disease,F,Criterion,Multi-assessor report,FALSE,TRUE,7
4,Cataract Surgery,A,LearningOutcome,"C4.4 - Be an effective supervisor, teacher and trainer of cataract surgery.",FALSE,FALSE,1
4,Cataract Surgery,A,LearningOutcome,"C4.3 - Demonstrate team working and management skills, including in complex, dynamic situations.",FALSE,FALSE,2
4,Cataract Surgery,A,LearningOutcome,C4.2 - Manage the complexity and uncertainty of cataract surgery cases.,FALSE,FALSE,3
4,Cataract Surgery,A,LearningOutcome,C4.1 - Demonstrate advanced clinical management and surgical skills.,FALSE,FALSE,4
4,Cataract Surgery,B,Criterion,CRS1 Consultation skills in cataract surgery,FALSE,TRUE,1
4,Cataract Surgery,C,Criterion,Independent management of the cataract clinic,TRUE,TRUE,1
4,Cataract Surgery,C,Criterion,Perform and interpret biometry in complex cases,TRUE,TRUE,2
4,Cataract Surgery,D,Criterion,OSATS Managing range of complex cataract surgery cases and different IOL types,FALSE,TRUE,1
4,Cataract Surgery,D,Criterion,EPA L4 Managing a cataract operating list,FALSE,TRUE,2
4,Cataract Surgery,E,Criterion,Performance of anterior vitrectomy,TRUE,TRUE,1
4,Cataract Surgery,E,Criterion,Placement of secondary IOL,TRUE,TRUE,2
4,Cataract Surgery,E,Criterion,Management of complication including capsule tears and iris complications,TRUE,TRUE,3
4,Cataract Surgery,E,Criterion,Ability to supervise and train trainees in cataract surgery to Level 3 and other health professionals in a theatre setting,TRUE,TRUE,4
4,Cataract Surgery,F,Criterion,Longitudinal observation by consultant assessor in the outpatient and/or on call setting,FALSE,TRUE,1
4,Cataract Surgery,F,Criterion,Longitudinal observation by consultant assessor in the theatre and simulation setting,FALSE,TRUE,2
4,Cataract Surgery,F,Criterion,Review of logbook,FALSE,TRUE,3
4,Cataract Surgery,F,Criterion,Review of cataract refractive audit (to be completed within 3 years of L4 Cataract Surgery sign off),FALSE,TRUE,4
4,Cataract Surgery,F,Criterion,Review of continuous complication log and ability to manage complications,FALSE,TRUE,5
4,Cataract Surgery,F,Criterion,Review of record keeping and letters,FALSE,TRUE,6
4,Cataract Surgery,F,Criterion,CbDs,FALSE,TRUE,7
4,Cataract Surgery,F,Criterion,Multi-assessor report,FALSE,TRUE,8
4,Glaucoma,A,LearningOutcome,"G4.4 - Be an effective supervisor, teacher and trainer of glaucoma condition management.",FALSE,FALSE,1
4,Glaucoma,A,LearningOutcome,"G4.3 - Apply management and team working skills appropriately, including in complex, dynamic situations.",FALSE,FALSE,2
4,Glaucoma,A,LearningOutcome,G4.2 - Manage the complexity and uncertainty of glaucoma cases.,FALSE,FALSE,3
4,Glaucoma,A,LearningOutcome,G4.1 - Demonstrate advanced clinical management and surgical skills.,FALSE,FALSE,4
4,Glaucoma,B,Criterion,CRS1 Consultation skills in glaucoma,FALSE,TRUE,1
4,Glaucoma,C,Criterion,Independent management of the glaucoma clinic,TRUE,TRUE,1
4,Glaucoma,C,Criterion,Ability to supervise and train trainees in glaucoma surgery to Level 3 and other health professional in a clinic setting,TRUE,TRUE,2
4,Glaucoma,D,Criterion,OSATS Microsurgical skills - glaucoma surgery,FALSE,TRUE,1
4,Glaucoma,D,Criterion,OSATS Cataract surgery,FALSE,TRUE,2
4,Glaucoma,D,Criterion,EPA L4 Managing a glaucoma operating list,FALSE,TRUE,3
4,Glaucoma,E,Criterion,Complex cataract surgery: shallow anterior chamber/previous glaucoma/PXF,FALSE,TRUE,1
4,Glaucoma,E,Criterion,"Medical and surgical management of glaucoma patients including trabeculectomy, non-penetrating glaucoma surgery & cyclodestructive procedures",FALSE,TRUE,2
4,Glaucoma,F,Criterion,Longitudinal observation by consultant assessor in the outpatient and/or on call setting,FALSE,TRUE,1
4,Glaucoma,F,Criterion,Longitudinal observation by consultant assessor in the theatre and simulation setting,FALSE,TRUE,2
4,Glaucoma,F,Criterion,Review of logbook,FALSE,TRUE,3
4,Glaucoma,F,Criterion,Review of personal audit of surgical outcomes,FALSE,TRUE,4
4,Glaucoma,F,Criterion,Review of record keeping and letters,FALSE,TRUE,5
4,Glaucoma,F,Criterion,CbDs,FALSE,TRUE,6
4,Glaucoma,F,Criterion,Multi-assessor report,FALSE,TRUE,7
4,Glaucoma,F,Criterion,Supervise and provide objective assessment of other surgical competency at Level 3 (e.g. WpBAs),FALSE,TRUE,8
4,Uveitis,A,LearningOutcome,"U4.4 - Be an effective supervisor, teacher and trainer of uveitis disease management.",FALSE,FALSE,1
4,Uveitis,A,LearningOutcome,"U4.3 - Apply management and team working skills appropriately, including in complex, dynamic situations.",FALSE,FALSE,2
4,Uveitis,A,LearningOutcome,U4.2 - Manage the complexity and uncertainty of uveitis disease cases.,FALSE,FALSE,3
4,Uveitis,A,LearningOutcome,U4.1 - Demonstrate advanced clinical management and surgical skills.,FALSE,FALSE,4
4,Uveitis,B,Criterion,CRS1 Consultation skills in uveitis,FALSE,TRUE,1
4,Uveitis,C,Criterion,Independent management of the uveitis eye care clinic,TRUE,TRUE,1
4,Uveitis,C,Criterion,Advanced interpretation of electrophysiology and multi-modal imaging modalities: e.g. FFA/ICG/Blue light autofluorescence and EDI-OCT,TRUE,TRUE,2
4,Uveitis,C,Criterion,Prescribe steroid sparing agents and/or biologic therapies,TRUE,TRUE,3
4,Uveitis,C,Criterion,Liaise with physicians for systemic management of patients,TRUE,TRUE,4
4,Uveitis,F,Criterion,Ability to supervise and train trainees and other health professionals in uveitis to Level 3 in a clinic setting,FALSE,TRUE,1
4,Uveitis,F,Criterion,Longitudinal observation by consultant assessor in the outpatient and/or on call setting,FALSE,TRUE,2
4,Uveitis,F,Criterion,Review of record keeping and letters,FALSE,TRUE,3
