Level,Specialty,Section,Type,Content,HasBlurb,ShowCommentsAlways,Order
3,Oculoplastics,A,LearningOutcome,"OO3.1 - Independently assess and manage moderate complexity patients, demonstrating an understanding of oculoplastics procedures and selecting the most appropriate treatment according to current accepted practice.",FALSE,FALSE,1
3,Oculoplastics,A,LearningOutcome,"OO3.2 - Risk assess and prioritise patients appropriately, recognising the need for special interest input.",FALSE,FALSE,2
3,Oculoplastics,A,LearningOutcome,OO3.3 - Independently perform low complexity oculoplastic procedures.,FALSE,FALSE,3
3,Oculoplastics,B,Criterion,CRS Consultation skills,FALSE,FALSE,1
3,Oculoplastics,C,Criterion,Assessment and detailed interpretation of lacrimal function (syringing / sac wash-out),TRUE,TRUE,1
3,Oculoplastics,C,Criterion,Initial management of sight-threatening orbital emergencies (e.g. orbital cellulitis),TRUE,TRUE,2
3,Oculoplastics,D,Criterion,OSATS Lid Surgery,FALSE,FALSE,1
3,Oculoplastics,D,Criterion,OSATS Lateral canthotomy and cantholysis,FALSE,FALSE,2
3,Oculoplastics,E,Criterion,Local anaesthesia,TRUE,TRUE,1
3,Oculoplastics,E,Criterion,Tarsorrhaphy,TRUE,TRUE,2
3,Oculoplastics,E,Criterion,Eyelid laceration repair,TRUE,TRUE,3
3,Oculoplastics,E,Criterion,Eyelid lesion biopsy,TRUE,TRUE,4
3,Oculoplastics,F,Criterion,"Longitudinal, periodic observation by consultant assessor in the outpatient and/or on call setting, where possible:",FALSE,TRUE,1
3,Oculoplastics,F,Criterion,Longitudinal observation by consultant assessor in the theatre and simulation setting:,FALSE,TRUE,2
3,Oculoplastics,F,Criterion,Review of record keeping and letters:,FALSE,TRUE,3
3,Oculoplastics,F,Criterion,Case-based Discussions (CbDs),FALSE,TRUE,4
3,Oculoplastics,F,Criterion,Please indicate if Multi-assessor Report (MAR) have been reviewed before completing EPA,FALSE,TRUE,5
3,Cornea & Ocular Surface Disease,A,LearningOutcome,COS3.3 - Independently perform low complexity corneal and ocular surface procedures.,FALSE,FALSE,1
3,Cornea & Ocular Surface Disease,A,LearningOutcome,"COS3.2 - Risk assess and prioritise patients appropriately, recognising the need for special interest input.",FALSE,FALSE,2
3,Cornea & Ocular Surface Disease,A,LearningOutcome,"COS3.1 - Independently assess and manage moderate complexity patients, demonstrating an understanding of cornea procedures and selecting the most appropriate treatment according to current accepted practice.",FALSE,FALSE,3
3,Cornea & Ocular Surface Disease,B,Criterion,CRS Consultation skills,FALSE,FALSE,1
3,Cornea & Ocular Surface Disease,C,Criterion,Corneal gluing,TRUE,TRUE,1
3,Cornea & Ocular Surface Disease,D,Criterion,OSATS Microsurgical skills,FALSE,FALSE,1
3,Cornea & Ocular Surface Disease,E,Criterion,Corneal trauma repair,TRUE,TRUE,1
3,Cornea & Ocular Surface Disease,E,Criterion,Corneal graft suture removal,TRUE,TRUE,2
3,Cornea & Ocular Surface Disease,E,Criterion,Local anaesthesia,TRUE,TRUE,3
3,Cornea & Ocular Surface Disease,F,Criterion,"Longitudinal, periodic observation by consultant assessor in the outpatient and/or on call setting, where possible:",FALSE,TRUE,1
3,Cornea & Ocular Surface Disease,F,Criterion,Longitudinal observation by consultant assessor in the theatre and simulation setting:,FALSE,TRUE,2
3,Cornea & Ocular Surface Disease,F,Criterion,Review of record keeping and letters:,FALSE,TRUE,3
3,Cornea & Ocular Surface Disease,F,Criterion,Case-based Discussions (CbDs),FALSE,TRUE,4
3,Cornea & Ocular Surface Disease,F,Criterion,Please indicate if Multi-assessor Report (MAR) have been reviewed before completing EPA,FALSE,TRUE,5
3,Cataract Surgery,A,LearningOutcome,CS3.3 - Independently perform low risk phacoemulsification cataract procedures.,FALSE,FALSE,1
3,Cataract Surgery,A,LearningOutcome,"CS3.2 - Risk assess and prioritise patients appropriately, recognising the need for special interest input.",FALSE,FALSE,2
